lic_id,labels,address
39767,0,75 1st St S
39069,0,5150 Palm Valley Rd #201
39152,0,9801 Pines Blvd
39235,0,259 4th Ave N
2027,0,1342 Colonial Blvd D27
38934,0,720 S Village Cir
39194,0,1220 20th St
39176,0,604 S Federal Hwy
39158,0,561 N Semoran Blvd
39038,0,1407 Belmonte Ave
31834,0,6028 N U.S. Hwy 41
39281,0,3217 S Access Rd
39103,0,917 W Fairbanks Ave
39167,0,1752 Sea Lark Ln
39275,0,216 W Howry Ave
39164,0,6702 Hanley Rd
34931,0,5515 Vista View Way
39125,0,1016 New York Ave
39245,0,13102 Palm Beach Blvd Suite D
39241,0,4243 W Hillsboro Blvd
35231,0,1032 Goodlette-Frank Rd
39242,0,115 Taylor St
39104,0,2547 Countryside Blvd #3
39124,0,18734 Cortez Blvd
39177,0,1628 San Marco Blvd
39234,0,3223 Ocean Dr
39159,0,483 Mariner Blvd
34025,0,2117 S Tamiami Trail
38880,0,36402 US Hwy 19 N
39120,0,3505 Bobcat Village Center Rd
39351,0,1014 Gateway Blvd #104
33471,0,1 St Johns Medical Park Dr
39301,0,2359 Vanderbilt Beach Rd
39346,0,1341 Oakfield Dr
39445,0,1706 S Dale Mabry Hwy
39263,0,1105 7th Ave N
39186,0,10064 W Indiantown Rd
39297,0,1233 Amelia Plaza
29989,0,8726 NW 26th St #12
35402,0,111 E 1st St
39338,0,90 Indian Trace
31587,0,The Grand Doubletree
39250,0,15600 Panama City Beach Pkwy #800
39342,0,1720 S McCall Rd
39405,0,12705 Race Track Rd
39341,0,328 Milwaukee Ave
22760,0,5701 21st Ave W
39417,0,1801 Oglesby Ave
39130,0,1109 Seminole Dr
39444,0,1886 S 14th St
39140,0,2203 Hillcrest St
39422,0,2936 Del Prado Blvd S
39214,0,1501 E Irlo Bronson Memorial Hwy
38850,0,1342 Colonial Blvd
38822,0,6202 Presidential Ct
38790,0,8359 Beacon Blvd
15545,0,11018 Old St Augustine Rd
32222,0,353 N Swinton Ave
38999,0,4206 Northlake Blvd
34216,0,1103 N Ponce De Leon Blvd
39044,0,2714 S MacDill Ave
38854,0,10114 S Military Trail
31912,0,400 4th St N
31312,0,120 Sea Grove Main St
38400,0,222 NW 45th St
32371,0,3804 Northlake Blvd
38956,0,25241 Elementary Way
36509,0,4141 S Tamiami Trail
34141,0,231 Ruby Ave SUITE D
38662,0,279 107th Ave
26710,0,6400 N Davis Hwy #8
38681,0,2330 Seven Springs Blvd
39052,0,7932 W Sand Lake Rd #304
38792,0,8855 San Jose Blvd
38799,0,12185 W Linebaugh Ave
38921,0,9260 Cortez Blvd
38802,0,357 Wekiva Springs Rd
38050,0,9930 Clint Moore Rd
38824,0,1048 W Hwy 50
39169,0,2720 W Woodview Ln
34451,0,9210 San Jose Blvd
39042,0,3100 SW College Rd
35024,0,2914 Beach Blvd S
39059,0,2219 Wilton Dr
38857,0,50 S Holiday Rd #400
39061,0,3730 Tampa Rd #3
38900,0,9272 SW 40th St
38695,0,40 Island Ave
39006,0,9069 4th St N
39111,0,2800 N Federal Hwy #2
38937,0,6837 4th St N
32153,0,6420 N Central Ave
38630,0,3214 SE Federal Hwy
38906,0,1781 Dunlawton Ave
38946,0,230 E Marks St
37205,0,12144 Cortez Blvd
39021,0,7375 SW 24th St
39136,0,1122 Riverside Dr
39157,0,2100 NW 42nd Ave
38995,0,5586 Broadcast Ct
31299,0,3715 W Horatio St
28281,0,525 4th St N
31842,0,5011 Ocean Blvd #202
8398,0,7046 Mariner Blvd
30902,0,11921 S Dixie Hwy #200
34388,0,1043 Jenks Ave
13514,0,4947 Tamiami Trail N
30010,0,100 Chopin Plaza
35276,0,1414 Gay Rd
20925,0,8101 World Center Dr
34095,0,S Palm Dr
27759,0,1900 Dr M.L.K. Jr St N
34057,0,17820 SE 109th Ave
26185,0,615 SW Camden Ave
33176,0,2348 Pine Ridge Rd
27360,0,112 Bridge St
30591,0,4535 Hollywood Blvd
38490,0,1012 58th St N
38450,0,236 Harbor Blvd
35961,0,1389 Florida Mall Ave
33306,0,805 Sebastian Blvd #2
35754,0,7243 Forest Oaks Blvd
35282,0,1740 Main St
32708,0,94 Federal Hwy
32777,0,3830 S Hwy A1A
34417,0,7720 Excitement Dr
30008,0,9520 Bonita Beach Rd SE
35490,0,19040 Bruce B Downs Blvd
31031,0,13170 Atlantic Blvd
35665,0,14545 S Military Trail
26562,0,551 N Park Ave
37055,0,3862 Central Ave
35442,0,804 Margaret St
38305,0,801 Tyrone Blvd N
16105,0,520 Collins Ave
34257,0,205
38363,0,3002 W Azeele St
35129,0,110 N Federal Hwy #204
33631,0,5939 S University Dr
38017,0,301 Orange Ave
34471,0,4290 Herschel St
25624,0,181 W Broadway St
29528,0,2221 Santa Barbara Blvd
28846,0,22982 Overseas Hwy
38687,0,33649 US Hwy 19 N
24158,0,600 N Atlantic Ave
34315,0,8317 Front Beach Rd STE 7
34303,0,2975 Bobcat Village Center Rd #300
32924,0,5861 Cortez Rd W
32340,0,4067 S Tamiami Trail
35157,0,12360 66th St N
33995,0,8600 W State Rd 84
35466,0,6260 66th St N
29713,0,2134 NE 123rd St
27299,0,5255 Ocean Blvd
34653,0,813 US-1
13435,0,400 S Collier Blvd
36592,0,1525 W Broadway St
33981,0,10000 W Sample Rd
38707,0,3210 Cypress Gardens Rd
32308,0,4130 Pine Island Rd
38820,0,127 N New Warrington Rd
32627,0,4001 Swift Rd
29297,0,401 Tompkins St
34227,0,400 E Palm Ave
38791,0,6549 Superior Ave
38849,0,10328 W Flagler St
38721,0,869 Stockton St #8
38251,0,411 W New England Ave
30015,0,2800 S Ocean Blvd
38689,0,206 E McNab Rd
20990,0,1466 E Bloomingdale Ave
28376,0,5615 US Hwy 98 N
38604,0,141 S Barfield Dr
33290,0,1700 W International Speedway Blvd
38684,0,21635 Village Lakes Shopping Center Dr
33587,0,855 E State Rd 434
32480,0,2611 Mall Dr
38412,0,120 Gateway Cir #2
34387,0,30368 Overseas Hwy
31498,0,7124 SE Osprey St
33438,0,1224 NE 4th Ave
31774,0,1852 Renzulli Rd
38692,0,5445 Murrell Rd STE 103
38772,0,17184 W Dixie Hwy
38672,0,8318 Market St
38732,0,4800 26th St W
33757,0,3333 Cleveland Heights Blvd
22092,0,5926 Premier Way #134
38530,0,306 Laurel Rd E
38734,0,1025 N Nova Rd #106
32903,0,322 SW 145th Terrace
19283,0,12950 Race Track Rd
32911,0,5211 Manatee Ave W
38694,0,4205 NW 16th Blvd
32636,0,851 S State Rd 434
33451,0,8001 S Orange Blossom Trail
34477,0,1266 S Tamiami Trail
33952,0,2600 W 9 Mile Rd
38529,0,955 Registry Blvd
38663,0,4348 W Vine St
33418,0,925 N Courtenay Pkwy #22
35679,0,28410 Bonita Crossings Blvd
33283,0,1112 W Platt St
30515,0,1206 E Atlantic Ave
30752,0,12160 S Shore Blvd
38759,0,9 Fillmore Dr
34853,0,2480 E Bay Dr #13
35912,0,13725 N Dale Mabry Hwy
37938,0,1324b Lake Baldwin Ln
32472,0,122 Middle St
38101,0,9365 US Hwy 19 N Suite B
35238,0,3315 Henderson Blvd
38042,0,1540 S McCall Rd
8873,0,10 Royal Palm Pointe
37955,0,EspÃ­rito Santo Plaza
10855,0,2727 NW 43rd St
35588,0,425 Avalon Park S Blvd #600
35823,0,1374 Weston Rd
34433,0,611 Market St
36941,0,10428 US-19
37918,0,1490 Palm Coast Pkwy NW
30857,0,8721 Ortega Park Dr
32151,0,1901 Collins Ave
8246,0,6500 SW Archer Rd
35386,0,30669 US Hwy 19 N
32031,0,9703 Collins Ave
37903,0,2208 1/2 NE 123rd St #2180
30971,0,11402 NW 41st St
35121,0,3150 S Orange Ave
37927,0,2759 S Ridgewood Ave
14267,0,417 Racetrack Rd NW
35560,0,A1A N
36606,0,6700 Conroy Rd
38535,0,1000 E Robinson St
32615,0,6705 W Waters Ave
35579,0,633 E Baldwin Rd
28595,0,480 North Orlando Avenue #110
35852,0,3085 S Federal Hwy
36844,0,7000 S Dixie Hwy
27127,0,4926 New Broad St
35537,0,5300 NW 87th Ave
38003,0,1400 Palm Bay Rd NE
38055,0,1513 James L Redman Pkwy
35784,0,2500 SW 37th Ave
35808,0,1222 SE 47th St
30412,0,917 N Pennsylvania Ave
33993,0,451 4th St N
35503,0,213 N Parsons Ave
34081,0,13224 W Broward Blvd
38176,0,10945 N Military Trl
38266,0,3335 NW Treasure Coast Dr
24286,0,7000 SW 62nd Ave
34027,0,13790 Bridgewater Crossings Blvd
34148,0,3915 A1A S #104
33115,0,451 E Altamonte Dr
38508,0,3115 W Bay to Bay Blvd
32487,0,111 Grand Palms Dr
32977,0,7310 Central Ave
22690,0,383 N Alafaya Trail
27954,0,3699 Airport-Pulling Rd
17659,0,15200 Jog Rd
8038,0,5100 N 9th Ave
38096,0,1101 10th Ave W
34904,0,1900 Okeechobee Blvd
4220,0,194 E Granada Blvd
32461,0,1004 Bichara Blvd
32616,0,1045 SE Ocean Blvd #1
24265,0,1813 E John Sims Pkwy
32707,0,5463 Gateway Village Cir #102
23593,0,2000 Estero Blvd
38116,0,1348 SW 160th Ave
37995,0,1467 S University Dr
38344,0,9108 Wiles Rd
35351,0,625 S Ft Harrison Ave
34246,0,14424 N Dale Mabry Hwy
37961,0,7536 N Dale Mabry Hwy
38270,0,2345 Bee Ridge Rd
32291,0,1200 N University Dr
31469,0,2 Independent Dr
37440,0,2950 Tamiami Trail N
31243,0,2006 Town Plaza Ct
33491,0,6318 Trail Blvd
30205,0,6051 Estero Blvd
37610,0,134 California Blvd
19334,0,1510 SE 46th Ln
8361,0,651 S Collier Blvd
37631,0,935 N Beneva Rd #713
37394,0,2927 SW High Meadow Ave
35290,0,3448 Lithia Pinecrest Rd
31403,0,306 E Lake Rd S
37577,0,146 N Nova Rd
36204,0,2245 49th St N
37491,0,1010 Kennedy Dr STE 403
37499,0,557 Park St
37798,0,7357 International Pl STE 101
37639,0,6533 Superior Ave
33873,0,3939 Cheval Blvd
37670,0,8888 SW 136th St
35965,0,1423 N Federal Hwy
30358,0,1323 Lafayette St
32569,0,1875 S Patrick Dr
37623,0,106 W 6th St
33317,0,2894 W Lake Mary Blvd #1008
34157,0,1989 US-17
37498,0,10417 Spring Hill Dr
36642,0,604 Duval St
33728,0,4310 S Hopkins Ave
669,0,4750 Amelia Island Pkwy
37581,0,8823 River Crossing Blvd
37487,0,4883 Glover Ln
29057,0,8595 College Pkwy
37974,0,1008 S Ridgewood Ave
25996,0,75 Alafaya Woods Blvd
37687,0,7729 Collier Blvd #504
